"BID";"b_Seq";"b_Subject";"b_ISBN";"b_Call_number";"b_Barcode";"b_Format";"b_Title";"b_Author";"b_Publisher";"b_Publication_year";"b_Borrowed_by";"b_Due_Date";"b_renewed"
1;"A10";"聖經";"962208088X";"A10AP";"LTC0028";"書籍";"大眾聖經百科全書";"Alexander Pat、陳惠榮著, 天道譯";"天道書樓";"1982";"";"";0
2;"A10";"聖經";"9789623991636";"A10JS";"LTC0029";"書籍";"聖經一年通";"約翰．司托德著, 陳恩明譯";"海天書樓";"2007";"";"";0
3;"A10";"聖經";"9789625130675";"A10TCM";"LTC0030";"書籍";"袖珍聖經手冊";"譚啟文、翁鳳玲著, 尹妙珍譯";"漢語聖經協會";"1997";"";"";0
4;"A10";"聖經";"9780964236707";"A10LJ";"LTC0031";"書籍";"實用釋經法";"賴約瀚著";"福音證主協會";"1994";"";"";0
5;"A10";"聖經";"9622444245";"A10SK";"LTC0032";"書籍";"基礎解經法";"蘇克著, 楊長慧譯";"宣道出版社";"1996";"";"";0
6;"A10";"聖經";"4895050710018";"A10LKM";"LTC0033";"書籍";"舊約輔讀 — 永恒之約（卷上）";"梁康民 /曾立華 /洪同勉著";"香港讀經會";"1996";"";"";0
7;"A10";"聖經";"4895050710025";"A10CMA";"LTC0034";"書籍";"舊約輔讀 — 永恒之約（卷下）";"張慕皚 /陳衍昌 /周永健著";"香港讀經會";"1996";"";"";0
8;"A10";"聖經";"9627409448";"A10HTH";"LTC0035";"書籍";"聖經無誤的再思";"韓大輝著";"厄瑪奴耳團體";"1994";"";"";0
9;"A10";"聖經";"9789579337144";"A10ST";"LTC0036";"書籍";"舊約新語";"舒茲著, 賴建國、陳興蘭譯";"中華福音神學院";"1984";"";"";0
10;"A10";"聖經";"310432502";"A10RBD";"LTC0037";"書籍";"An Introduction to the Old Testament";"Raymond B.Dillard";"Zondervan Publishing House";"1994";"";"";0
11;"A10";"聖經";"";"A10GDF";"LTC0039";"";"讀經的藝術";"戈登費依, 道格樂思史督華著";"華神";"";"";"";0
12;"A10";"聖經";"";"A10GDF";"LTC0040";"";"How to Read Bible for All Its Worth";"Gordon D.Fee & Douglas Stuart";"Academie";"";"";"";0
13;"A10";"聖經";"";"A10DSR";"LTC0041";"";"兩約之間";"羅素著, 褟浩榮譯";"天道";"";"";"";0
14;"A10";"聖經";"";"A10DKF";"LTC0042";"";"聖經中的十大異象";"滕近輝";"宣道";"";"";"";0
15;"A10";"聖經";"";"A10GWB";"LTC0043";"書籍";"猶太社羣";"喬治布坎南著, 陳秀媚譯";"國際華人聖經協會";"";"";"";0
